Year	Real_median_hourly_compensation	Real_average_hourly_compensation	Net_productivity
1973	0.0	0.0	0.0
1974	-2.0	-0.9	-1.6
1975	-0.5	1.0	0.6
1976	0.4	2.8	3.4
1977	1.3	3.9	4.6
1978	2.5	5.0	5.6
1979	1.9	4.9	5.8
1980	1.1	4.1	5.0
1981	-1.2	4.5	7.2
1982	0.5	5.6	5.7
1983	0.4	5.8	8.8
1984	0.7	6.0	11.7
1985	1.7	7.7	13.6
1986	3.8	11.2	15.9
1987	3.4	11.9	16.5
1988	2.7	13.3	17.8
1989	2.6	12.1	18.8
1990	2.6	13.4	20.4
1991	3.6	14.6	21.4
1992	5.2	18.0	25.8
1993	4.5	17.1	26.2
1994	2.4	16.3	27.4
1995	0.7	15.7	27.5
1996	-0.4	17.1	30.6
1997	1.4	18.4	32.4
1998	4.0	22.7	35.0
1999	7.1	25.3	38.3
2000	6.8	29.1	41.6
2001	9.6	31.2	43.8
2002	11.3	32.5	47.8
2003	13.3	35.1	52.6
2004	13.6	37.7	56.7
2005	12.5	37.9	59.4
2006	12.3	38.7	60.4
2007	11.0	40.6	61.5
2008	11.6	39.3	61.8
2009	14.0	42.1	65.1
2010	12.7	42.6	70.0
2011	9.6	41.1	70.2
2012	8.5	41.6	71.1
2013	9.6	41.2	71.2
2014	8.7	42.5	72.2
