Year	Hourly_compensation Net_productivity
1948 	0.0	0.0
1949	6.3	1.5
1950	10.5	9.3
1951	11.8	12.3
1952	15.0	15.6
1953	20.8	19.5
1954	23.5	21.6
1955	28.7	26.5
1956	33.9	26.7
1957	37.1	30.1
1958	38.2	32.8
1959	42.5	37.6
1960	45.5	40.0
1961	48.0	44.3
1962	52.5	49.8
1963	55.0	55.0
1964	58.5	60.0
1965	62.5	64.9
1966	64.9	70.0
1967	66.9	72.0
1968	70.7	77.2
1969	74.7	77.9
1970	76.6	80.4
1971	82.0	87.1
1972	91.2	92.0
1973 	91.3	96.7
1974	87.0	93.7
1975	86.8	97.9
1976	89.7	103.4
1977	93.1	105.8
1978	96.0	107.8
1979	93.4	108.1
1980	88.6	106.6
1981	87.6	111.0
1982	87.8	107.9
1983	88.3	114.1
1984	86.9	119.7
1985	86.3	123.4
1986	87.3	128.0
1987	84.6	129.1
1988	83.9	131.8
1989	83.7	133.6
1990	82.2	137.0
1991	81.9	138.9
1992	83.0	147.5
1993	83.4	148.4
1994	83.8	150.7
1995	82.7 	150.8
1996	82.8	156.9
1997	84.8	160.5
1998	89.2	165.7
1999	91.9	172.1
2000	92.9	178.5
2001	95.6	182.9 
2002	99.5	190.7
2003	101.6	200.2
2004	101.0	208.3
2005	100.0	213.6
2006	100.2	215.6
2007	101.7	217.8
2008	101.8	218.3
2009	109.7	224.9
2010	111.5	234.4
2011	109.1	234.8
2012	107.3	236.6
2013	108.3	236.9
2014	109.0	238.7 
2015	112.8	241.1
2016	115.1	241.8
