"Year"	"Hourly compensation"	"Productivity"
"1948"	"0.00%"	"0.00%"
"1949"	"6.25%"	"1.55%"
"1950"	"10.48%"	"9.33%"
"1951"	"11.76%"	"12.35%"
"1952"	"15.04%"	"15.63%"
"1953"	"20.85%"	"19.55%"
"1954"	"23.52%"	"21.56%"
"1955"	"28.74%"	"26.46%"
"1956"	"33.95%"	"26.66%"
"1957"	"37.14%"	"30.09%"
"1958"	"38.16%"	"32.78%"
"1959"	"42.55%"	"37.64%"
"1960"	"45.50%"	"40.05%"
"1961"	"47.99%"	"44.36%"
"1962"	"52.48%"	"49.79%"
"1963"	"55.03%"	"55.01%"
"1964"	"58.51%"	"59.99%"
"1965"	"62.47%"	"64.94%"
"1966"	"64.90%"	"70.00%"
"1967"	"66.90%"	"72.05%"
"1968"	"70.74%"	"77.16%"
"1969"	"74.67%"	"77.88%"
"1970"	"76.61%"	"80.37%"
"1971"	"82.02%"	"87.10%"
"1972"	"91.25%"	"92.05%"
"1973"	"91.31%"	"96.75%"
"1974"	"86.98%"	"93.66%"
"1975"	"86.86%"	"97.92%"
"1976"	"89.68%"	"103.44%"
"1977"	"93.15%"	"105.79%"
"1978"	"95.98%"	"107.79%"
"1979"	"93.45%"	"108.14%"
"1980"	"88.59%"	"106.57%"
"1981"	"87.61%"	"111.02%"
"1982"	"87.79%"	"107.88%"
"1983"	"88.37%"	"114.13%"
"1984"	"86.96%"	"119.73%"
"1985"	"86.33%"	"123.43%"
"1986"	"87.34%"	"127.99%"
"1987"	"84.62%"	"129.12%"
"1988"	"83.87%"	"131.78%"
"1989"	"83.72%"	"133.65%"
"1990"	"82.24%"	"136.98%"
"1991"	"81.90%"	"138.89%"
"1992"	"83.07%"	"147.56%"
"1993"	"83.41%"	"148.37%"
"1994"	"83.84%"	"150.75%"
"1995"	"82.73%"	"150.86%"
"1996"	"82.81%"	"156.92%"
"1997"	"84.82%"	"160.50%"
"1998"	"89.19%"	"165.71%"
"1999"	"91.94%"	"172.08%"
"2000"	"92.92%"	"178.50% "
"2001"	"95.59%"	"182.84%"
"2002"	"99.40%"	"190.72%"
"2003"	"101.66%"	"200.17%"
"2004"	"100.87%"	"208.21%"
"2005"	"100.07%"	"213.58%"
"2006"	"100.24%"	"215.48%"
"2007"	"101.73%"	"217.70%"
"2008"	"101.74%"	"218.24%"
"2009"	"109.72%"	"224.75%"
"2010"	"111.56%"	"234.28%"
"2011"	"109.09%"	"234.67%"
"2012"	"107.30%"	"236.51%"
"2013"	"108.34%"	"237.57%"
"2014"	"109.22%"	"239.30%"
"2015"	"112.81%"	"241.08%"
"2016"	"115.14%"	"241.76%"
